,target-var,in-sample-accuracy,out-of-sample-accuracy,sma,rsi
270,1,0.5343698854337152,0.5190184049079755,6,28
271,2,0.5376432078559739,0.5141104294478528,6,28
272,3,0.8338788870703764,0.8429447852760736,6,28
273,4,0.7806873977086743,0.7705521472392638,6,28
274,5,0.5507364975450082,0.5852760736196319,6,28
275,6,0.5286415711947627,0.5631901840490797,6,28
276,7,0.5343698854337152,0.5852760736196319,6,28
277,8,0.5720130932896891,0.5852760736196319,6,28
278,9,0.7495908346972177,0.7079754601226994,6,28
279,10,0.8346972176759411,0.849079754601227,6,28
280,11,0.8338788870703764,0.8429447852760736,6,28
281,12,0.7463175122749591,0.7607361963190185,6,28
282,13,0.5286415711947627,0.5631901840490797,6,28
283,14,0.9549918166939444,0.9521472392638037,6,28
284,15,0.7806873977086743,0.7705521472392638,6,28
285,16,0.693126022913257,0.656441717791411,6,28
286,17,0.9247135842880524,0.901840490797546,6,28
287,18,0.5507364975450082,0.5852760736196319,6,28
288,19,0.5343698854337152,0.5190184049079755,6,28
289,20,0.5548281505728314,0.5717791411042945,6,28
290,21,0.6702127659574468,0.6392638036809816,6,28
291,22,0.7569558101472995,0.7766871165644171,6,28
292,23,0.5540098199672667,0.5766871165644172,6,28
293,24,0.5540098199672667,0.5766871165644172,6,28
294,25,0.5540098199672667,0.5766871165644172,6,28
295,26,0.5540098199672667,0.5766871165644172,6,28
296,27,0.546644844517185,0.5828220858895705,6,28
297,28,0.546644844517185,0.5828220858895705,6,28
298,29,0.546644844517185,0.5828220858895705,6,28
299,30,0.546644844517185,0.5828220858895705,6,28
300,1,0.5219512195121951,0.5322777101096224,7,9
301,2,0.5308943089430894,0.559074299634592,7,9
302,3,0.8276422764227642,0.853836784409257,7,9
303,4,0.7878048780487805,0.758830694275274,7,9
304,5,0.5967479674796748,0.5785627283800243,7,9
305,6,0.5658536585365853,0.5542021924482339,7,9
306,7,0.5390243902439025,0.5529841656516443,7,9
307,8,0.6333333333333333,0.6151035322777101,7,9
308,9,0.7268292682926829,0.7405602923264312,7,9
309,10,0.8357723577235773,0.8465286236297198,7,9
310,11,0.8276422764227642,0.853836784409257,7,9
311,12,0.7528455284552845,0.7551766138855055,7,9
312,13,0.5658536585365853,0.5542021924482339,7,9
313,14,0.9512195121951219,0.9585870889159561,7,9
314,15,0.7878048780487805,0.758830694275274,7,9
315,16,0.691869918699187,0.6845310596833131,7,9
316,17,0.9227642276422764,0.904993909866017,7,9
317,18,0.5967479674796748,0.5785627283800243,7,9
318,19,0.5219512195121951,0.5322777101096224,7,9
319,20,0.5975609756097561,0.5907429963459196,7,9
320,21,0.6658536585365854,0.6467722289890377,7,9
321,22,0.7658536585365854,0.7637028014616322,7,9
322,23,0.5951219512195122,0.5883069427527405,7,9
323,24,0.5951219512195122,0.5883069427527405,7,9
324,25,0.5951219512195122,0.5883069427527405,7,9
325,26,0.5951219512195122,0.5883069427527405,7,9
326,27,0.5723577235772358,0.5676004872107187,7,9
327,28,0.5723577235772358,0.5676004872107187,7,9
328,29,0.5723577235772358,0.5676004872107187,7,9
329,30,0.5723577235772358,0.5676004872107187,7,9
330,1,0.5235772357723577,0.5298416565164433,7,10
331,2,0.532520325203252,0.5663824604141291,7,10
332,3,0.8276422764227642,0.853836784409257,7,10
333,4,0.7878048780487805,0.758830694275274,7,10
334,5,0.5934959349593496,0.5773447015834349,7,10
335,6,0.5626016260162602,0.5566382460414129,7,10
336,7,0.5430894308943089,0.5505481120584653,7,10
337,8,0.6292682926829268,0.6199756394640682,7,10
338,9,0.7268292682926829,0.7405602923264312,7,10
339,10,0.8357723577235773,0.8465286236297198,7,10
340,11,0.8276422764227642,0.853836784409257,7,10
341,12,0.7528455284552845,0.7527405602923264,7,10
342,13,0.5626016260162602,0.5566382460414129,7,10
343,14,0.9512195121951219,0.9585870889159561,7,10
344,15,0.7878048780487805,0.758830694275274,7,10
345,16,0.6853658536585366,0.6881851400730816,7,10
346,17,0.9227642276422764,0.904993909866017,7,10
347,18,0.5934959349593496,0.5773447015834349,7,10
348,19,0.5235772357723577,0.5298416565164433,7,10
349,20,0.5967479674796748,0.5907429963459196,7,10
350,21,0.6658536585365854,0.6467722289890377,7,10
351,22,0.7658536585365854,0.7637028014616322,7,10
352,23,0.5910569105691057,0.582216808769793,7,10
353,24,0.5910569105691057,0.582216808769793,7,10
354,25,0.5910569105691057,0.582216808769793,7,10
355,26,0.5910569105691057,0.582216808769793,7,10
